starttime	seconds	ctime	dtime	ttime	wait
Tue Jul 26 09:41:03 2016	1469536863	0	246	246	178
Tue Jul 26 09:41:03 2016	1469536863	1	245	246	177
Tue Jul 26 09:40:59 2016	1469536859	0	246	246	178
Tue Jul 26 09:41:03 2016	1469536863	0	246	247	178
Tue Jul 26 09:40:53 2016	1469536853	1	246	247	172
Tue Jul 26 09:40:57 2016	1469536857	0	247	247	180
Tue Jul 26 09:41:03 2016	1469536863	0	247	247	179
Tue Jul 26 09:41:03 2016	1469536863	0	247	247	179
Tue Jul 26 09:41:03 2016	1469536863	0	247	247	180
Tue Jul 26 09:41:03 2016	1469536863	0	248	248	176
Tue Jul 26 09:40:58 2016	1469536858	0	248	248	180
Tue Jul 26 09:41:00 2016	1469536860	0	248	248	180
Tue Jul 26 09:40:58 2016	1469536858	0	248	248	178
Tue Jul 26 09:41:04 2016	1469536864	0	248	248	180
Tue Jul 26 09:41:04 2016	1469536864	1	247	248	179
Tue Jul 26 09:40:58 2016	1469536858	0	248	248	181
Tue Jul 26 09:41:00 2016	1469536860	1	248	248	180
Tue Jul 26 09:40:58 2016	1469536858	1	248	249	180
Tue Jul 26 09:41:04 2016	1469536864	0	249	249	180
Tue Jul 26 09:40:58 2016	1469536858	0	249	249	180
Tue Jul 26 09:41:00 2016	1469536860	1	248	249	179
Tue Jul 26 09:40:53 2016	1469536853	1	249	249	179
Tue Jul 26 09:41:03 2016	1469536863	0	249	249	181
Tue Jul 26 09:41:04 2016	1469536864	1	248	250	180
Tue Jul 26 09:40:58 2016	1469536858	1	249	250	182
Tue Jul 26 09:41:04 2016	1469536864	0	250	250	172
Tue Jul 26 09:41:03 2016	1469536863	0	250	250	181
Tue Jul 26 09:40:58 2016	1469536858	0	250	250	182
Tue Jul 26 09:40:58 2016	1469536858	0	250	250	183
Tue Jul 26 09:40:58 2016	1469536858	0	250	250	181
Tue Jul 26 09:41:00 2016	1469536860	3	248	251	179
Tue Jul 26 09:41:04 2016	1469536864	0	250	251	183
Tue Jul 26 09:40:58 2016	1469536858	0	251	251	183
Tue Jul 26 09:40:58 2016	1469536858	2	250	251	182
Tue Jul 26 09:40:57 2016	1469536857	0	251	251	183
Tue Jul 26 09:41:03 2016	1469536863	0	251	251	182
Tue Jul 26 09:41:00 2016	1469536860	0	251	252	184
Tue Jul 26 09:41:00 2016	1469536860	2	250	252	183
Tue Jul 26 09:41:03 2016	1469536863	0	252	252	183
Tue Jul 26 09:41:03 2016	1469536863	0	252	252	184
Tue Jul 26 09:41:04 2016	1469536864	1	251	252	183
Tue Jul 26 09:40:58 2016	1469536858	0	252	252	184
Tue Jul 26 09:40:58 2016	1469536858	0	252	253	184
Tue Jul 26 09:41:00 2016	1469536860	0	252	253	185
Tue Jul 26 09:41:01 2016	1469536861	0	253	253	183
Tue Jul 26 09:40:58 2016	1469536858	1	252	253	185
Tue Jul 26 09:40:53 2016	1469536853	1	252	253	178
Tue Jul 26 09:40:58 2016	1469536858	0	253	253	185
Tue Jul 26 09:40:58 2016	1469536858	0	253	253	185
Tue Jul 26 09:41:00 2016	1469536860	0	253	253	185
Tue Jul 26 09:41:01 2016	1469536861	2	252	254	184
Tue Jul 26 09:40:58 2016	1469536858	1	253	254	184
Tue Jul 26 09:41:01 2016	1469536861	2	252	254	180
Tue Jul 26 09:40:58 2016	1469536858	0	254	254	187
Tue Jul 26 09:41:03 2016	1469536863	0	254	254	185
Tue Jul 26 09:40:59 2016	1469536859	0	254	255	186
Tue Jul 26 09:40:58 2016	1469536858	0	254	255	187
Tue Jul 26 09:41:00 2016	1469536860	0	254	255	185
Tue Jul 26 09:41:03 2016	1469536863	0	254	255	186
Tue Jul 26 09:41:01 2016	1469536861	0	255	255	187
Tue Jul 26 09:41:03 2016	1469536863	0	255	255	187
Tue Jul 26 09:40:57 2016	1469536857	1	254	256	185
Tue Jul 26 09:40:57 2016	1469536857	1	254	256	187
Tue Jul 26 09:41:01 2016	1469536861	0	256	256	184
Tue Jul 26 09:41:00 2016	1469536860	0	256	257	188
Tue Jul 26 09:41:01 2016	1469536861	0	258	258	183
Tue Jul 26 09:41:03 2016	1469536863	0	258	258	189
Tue Jul 26 09:41:00 2016	1469536860	0	259	259	191
Tue Jul 26 09:41:03 2016	1469536863	1	259	260	191
Tue Jul 26 09:41:00 2016	1469536860	0	259	260	190
Tue Jul 26 09:40:58 2016	1469536858	0	261	261	172
Tue Jul 26 09:41:00 2016	1469536860	0	262	262	193
Tue Jul 26 09:41:03 2016	1469536863	0	262	262	193
Tue Jul 26 09:41:00 2016	1469536860	0	262	263	193
Tue Jul 26 09:40:58 2016	1469536858	0	263	263	195
Tue Jul 26 09:41:03 2016	1469536863	0	264	264	195
Tue Jul 26 09:41:00 2016	1469536860	0	264	264	196
Tue Jul 26 09:40:53 2016	1469536853	1	264	264	196
Tue Jul 26 09:40:57 2016	1469536857	0	265	265	196
Tue Jul 26 09:41:03 2016	1469536863	0	265	265	197
Tue Jul 26 09:41:03 2016	1469536863	0	265	266	197
Tue Jul 26 09:41:03 2016	1469536863	0	265	266	198
Tue Jul 26 09:41:03 2016	1469536863	0	266	266	197
Tue Jul 26 09:41:03 2016	1469536863	0	266	267	198
Tue Jul 26 09:40:57 2016	1469536857	1	266	267	198
Tue Jul 26 09:41:03 2016	1469536863	1	266	267	197
Tue Jul 26 09:41:03 2016	1469536863	0	267	267	195
Tue Jul 26 09:41:03 2016	1469536863	1	268	269	199
Tue Jul 26 09:40:57 2016	1469536857	1	268	269	198
Tue Jul 26 09:41:04 2016	1469536864	0	270	270	202
Tue Jul 26 09:40:57 2016	1469536857	2	268	270	200
Tue Jul 26 09:41:04 2016	1469536864	0	271	271	202
Tue Jul 26 09:40:57 2016	1469536857	1	271	272	203
